is_new_listing,title,link,image_link,condition,price,shipping_price
False,Tactical Water Bottle Pouch two Point Strap Military Bag Survival Kits Holder,https://www.ebay.com/itm/325188843698?hash=item4bb6c3f8b2:g:OiEAAOSwkMhifxl8&amdata=enc%3AAQAIAAAA4IFPHQ7%2BQ8Rn%2BMS7ivIJrZKN1hVHQ0RrRC5sbpgYyNQaU7CvBVkWSLDKXRJVEChl4rANHRa8ERyfbYxtqYIeRxGUwgzf%2F1pbZIojJI5t5iUPZ1ETUexvipicQ4aDwibtDP50%2BneFdCB%2FHpS%2BEqp39jb%2BwxBUHKKZkiPi0pNl3x83iYU186iM6EIJGx81MSdPp6WL4SdQEsxB%2Fb9b6oXqkA0U%2F6Z9kXKFyVC9EBkYpUAMup3eyeQhKioJCDf1SblNJgSZwLwvVtdazTcgWQdR7%2FO%2FWXIwWPxwPfK4q6GNdvEm%7Ctkp%3ABFBM5t_Es_th,https://i.ebayimg.com/thumbs/images/g/OiEAAOSwkMhifxl8/s-l225.jpg,Brand New,12.91,5.0
False,Ultralight Bicycle Water Bottle Cage Holder Full Carbon Fiber for MTB Road Bike,https://www.ebay.com/itm/275687094505?hash=item40303b38e9:g:5wcAAOSwN7Rj6wZU&amdata=enc%3AAQAIAAAA4OQdE%2FQsg6fDHlfcdBb2nsSx8WJ%2FJBGBGGqj6uTr9Idkqa25SiVDKNId%2BKFcAJyOrG4K1Dj%2B4Nj1RCmfLxkO2DRTuoONijy4zxAsZaCiCAGZVsOqP7ITdrEw4iReABRVcv8TJdnU2fK6yz6BkyOAtNtluLtgxVFcqhvIv55HGJdAd8JCHRhYbKG1OXQFqp2HRNJ9Cw7SlDsl%2FEmua1DYDJ3OgGZM4ioZERF29VlcXdbEpgL5%2FKbbKCLe%2B7o9%2F17rcu%2Bgzt8QeIdY6hr0Fo54fRK6uyrdLPjUwkyVZRLz7%2BgP%7Ctkp%3ABFBMosTDs_th,https://i.ebayimg.com/thumbs/images/g/5wcAAOSwN7Rj6wZU/s-l225.jpg,Brand New,31.19,None
False,Bianchi Water Bottle 120 Years 1885-2005 Teal Green,https://www.ebay.com/itm/125909632034?hash=item1d50cc8422:g:~pAAAOSw05JkTNDW&amdata=enc%3AAQAIAAAA4LvEokRbOsmkW0gLKx5OewZJDPq%2FnYi7OsDbLZ%2FQVvgAVurrEOgOC2qmFujM%2B8TR56rIm%2Ba5Vx9iyQftn%2BS%2FVIq%2FSUmDAdaBSZ9yBlI7rO%2BWtH3VfKye%2BxEYZn5kfklhMBR%2ByasRaLYkqnQtyr839sLrYoMyCIY8xsPz%2FCNWwyvlnvYjd7IOQi9KaH6Oyz81xvYSw2mRFELSXu%2BNaLVweBk%2BGys4oxxK7yR3vGJMW9BdLRHo0XpMOfIiUMoDznBvLrlcxefbZdcXadI5RlF%2FTDSzPbfsYdEZskNGqN800TQj%7Ctkp%3ABk9SR5DRxbP7YQ,https://i.ebayimg.com/thumbs/images/g/~pAAAOSw05JkTNDW/s-l225.jpg,Pre-Owned,30.0,24.52
False,NEW! Bicycle Bottle Polar BREAKAWay Insulated 24oz Ridge Charcoal/Silver,https://www.ebay.com/itm/354687039902?epid=15037228910&hash=item5294feb99e:g:0EgAAOSwZshkJuWv&amdata=enc%3AAQAIAAAAwLqIl5Tlde33N1zAblhN109C5J4txGPGZh6uFwbpoHxCxrLFMeqi3xILP6wA1eOTYQx84OCd12R1kFZxWXVAMZ4Rtfte4GxI9sz12DNxSllDKpyX%2BrYts9aY4WjMeZOkNjjOpnjQKCrPW9ix9OTMnohc1Y4kvli1zfHxW8fh8wnJuiCi2DDE0dfN8sCPPih001Uo9STL91o1TO6zLNJh9TyFunC0%2BgaLfAe0zZ%2BqE2%2FulfCCE%2FH76e43cfAyNtnrQQ%3D%3D%7Ctkp%3ABk9SR8yVw7P7YQ,https://i.ebayimg.com/thumbs/images/g/0EgAAOSwZshkJuWv/s-l225.jpg,Brand New,10.0,None
False,2Pcs Folding Flat Water Bottle Sports Running drink Bottle with clip-on Blue,https://www.ebay.com/itm/221805430440?hash=item33a4a246a8:g:SSsAAMXQUmFSho7E&amdata=enc%3AAQAIAAAA4JFmIMheZZNr91V0zwl7woi3%2BzHujLcAXC6gXCWdz9kdwVbZylnmKHzdB2WiRLehPQf0yNJZkyDo4TroltPieYUbKc%2BnD7qA2Gzc5gO3QlLYXMOOimeHbKDW7g63hLXXtuw8HXzQgsEchXN%2Br4kKYczUzIC7NTSzT%2FaD1f76QesMCbs3IuXgU%2F7FCpvRLjW4drfk%2BzY6WbNZWOTYUhdWlnNuygcCwgpHIVLdVOSeS3lRRTNk3WiwuJv2unkmtRHwSZ03HOshPgzlX1q%2BQJSv%2FD5n3sTQI8FVHBmnLEHJ9C0h%7Ctkp%3ABk9SR_7-xbP7YQ,https://i.ebayimg.com/thumbs/images/g/SSsAAMXQUmFSho7E/s-l225.jpg,Brand New,4.99,12.99
False,250/500ML TPU Folding Soft Flask Sports Water Bottle Camping For Running H6Y7,https://www.ebay.com/itm/125908976659?hash=item1d50c28413:g:a4gAAOSw-iZj~y-P&amdata=enc%3AAQAIAAAA4Kc3uupqsPawBxUWuFND6t34Pc3GG11rj3RzRyzKfazeF41%2BvTTnK9h4%2BsaVaAndrt%2BkcgvpjBUeDn6lZFk3wolNUl23l0G%2BREbqZQT%2BoksUmwM%2BzHLb5L9HVNGVfWN1SwYFbObqr6YtvfzXyVdcIbezyzWXMVXFOGoVWtIyadRgK50NWVQAIgMdm73RqHtXLWDyNbRjCrsEMVHW510XBx0rbMxM2iBW6c9Bh48JdO9M9YKhLVtppoIrSmjyA0XTJdoYtTPUJ3NOG30lG01xTthecqkTthv4MQs00gAWXe4r%7Ctkp%3ABk9SR5TRxbP7YQ,https://i.ebayimg.com/thumbs/images/g/a4gAAOSw-iZj~y-P/s-l225.jpg,Brand New,7.76,None
False,Sport Water Bottle Cover Neoprene Insulated Sleeve Bag Case Pouch + Strap for 1L,https://www.ebay.com/itm/204071261936?hash=item2f839856f0:g:35cAAOSw9BNi~aw9&amdata=enc%3AAQAIAAAAwIFc8grbN9UDwh%2FA86WCrpDgcVC7Uard6SZE1k2nXIYi3zScrKAxHly3TxyfcibXJWzUhPBBzNGqTIrgnhVm1goCiQrWmldtuZJN2VYeHFj%2BoWB%2BF0CoXd38jwhz2jawXjKq%2Bk7f8XUERAEr%2Fd2J43h09DKebq6kDKZhbqybT%2FrQ4VDSpw8QLtPNZo0HR%2Bi1lCnFnARl4nqLBY6S8mzgHRw87g9OFnKCej2RevnGe2pKaHcRXuNfc3zmcvEdf0hkUA%3D%3D%7Ctkp%3ABk9SR5LRxbP7YQ,https://i.ebayimg.com/thumbs/images/g/35cAAOSw9BNi~aw9/s-l225.jpg,Brand New,8.96,None
False,"Copper Copper Water Bottle, 1000ml, Set of 1, Green Print",https://www.ebay.com/itm/195147418698?hash=item2d6fb14c4a:g:OpEAAOSwVB1irdaN&amdata=enc%3AAQAIAAAA4JVXRjcCjbP2L6fqyq5xaXDmBUbOyrelrC7JYxJRsGvwIuAaye%2FnZfdQIwpCsoQ5AqBU%2BBV0hna1LmYwDF70lBWyI5glSZf3k2A%2FrTScbCBI7xw1d9kGH%2FmV8DFYgE6mLwRz5C69bnrOgZ0nZuDAPdyH54ETWTmOAP7sI7qikEVOtI3nhGXUpuaP9KrPoGm%2BCUj6GOrussxLdm454QtbPnDRAH%2BTWFOLJpk2AKXGcJg%2FcplIkn4Eifx8wz3coPpoL1guR51r5%2FsKjo%2F55bdH7Lj3QwsoMX2BaBii9c8KpKZN%7Ctkp%3ABFBM5N_Es_th,https://i.ebayimg.com/thumbs/images/g/OpEAAOSwVB1irdaN/s-l225.jpg,Brand New,19.99,None
True,Portable Aluminum Bike Water Bottle with Lid for Sports Outdoor Activities,https://www.ebay.com/itm/314565099525?hash=item493d8a8005:g:v-EAAOSwRm9kUD3M&amdata=enc%3AAQAIAAAA4NMkhacncn4aadFH6LGnBQdE86WfAdqwRK%2Fc5ReSRkuhyIi%2BzIkgDI3QuW4pvTCsDAjpoADZTNVVYQSeRrcWoKjNmIrZa4fUqhv76D8xSZnGcAWKseY0HBnRQoWwGrtP7lVuFIQTIDOfDalduAspfH1X6lnTWUM33VRMLojD3E%2F3Gx6fZhZSrDZniNiukerXvlmdzBmzy0fczrgKnBn1OjnONcuQG5gsqZZRS%2FVxdn0o0CnkWMDEqpfkKbBsBF7klT6rD0Z%2BoRxnCnLN3GxZoZhfbpCiPsTNh7uxZA1%2FB8y%2F%7Ctkp%3ABk9SR-bfxLP7YQ,https://i.ebayimg.com/thumbs/images/g/v-EAAOSwRm9kUD3M/s-l225.jpg,Brand New,9.51,None
False,The Coldest 32 Sports Water Bottle Wide Mouth Insulated Stainless Steel-32oz Jug,https://www.ebay.com/itm/173682783487?hash=item28704cf4ff:g:tDsAAOSwJA5j5gHI&amdata=enc%3AAQAIAAAA4Jxr2g34Eu9pUTBQUPaz%2FQgpcjG0X0P8fQrQgDD%2F1IB4zapdehGFB4dkLRpp2s7a3AfBQ5wvXudjvIlEEjLqJfsRIVYRxPmFFDXDXjM4SxERL7BbM9qmJT4FdidSY6SRt2XTa36tgvkyvV6PHRP%2Fsv8WlUMbLCKsmFdP0nwvz601%2BFtjdvxXBhIpYF%2FzS4KCzClt2qUXmKO9Y3tkpNPgEirYWasL4mJAl54Ba0WBR6UcMmOQqcsR5WBEtZHGaV%2FmUe4eseHuTpRbrDkRjbrdElV5av00bqJLk9yXd0YMr6Ko%7Ctkp%3ABFBMsKjCs_th,https://i.ebayimg.com/thumbs/images/g/tDsAAOSwJA5j5gHI/s-l225.jpg,Brand New,39.99,53.51
