is_new_listing,title,link,image_link,condition,price,shipping_price
False,Outdoor Tactical Molle Water Bottle Bags for Military Belt Holder Kettle Pouch,https://www.ebay.com/itm/155099785194?hash=item241caae7ea:g:~08AAOSw04ti55tU&amdata=enc%3AAQAIAAAA4D2bdli4M3JSYcECI3gLsRouP1Yri%2FEHKaB3433PVwY5Ut3Lt1c0XRdO8xBnfwyM19PM4%2BcsyivvD4%2BBygFGfJE6ty%2FvbL3Uin7gNuyDmIv%2F%2B2koMg8uQG5d1N36nTaMvXJrzzAb%2Fss7RvNlT6Yxoo0CxCV8Ygy1ekrd%2FRKqpNShWfKJQ8dScTHx0kac%2Bp8VfbwCl%2FBktUluU4MBWzALqAmeGY95sKURbA8hhvWqMpIHCRf6ALxtKaWOWtrYXRHHzJbUysX%2Bz2121qDN3xnoS5Y5fz7M3WKbQvZW2xKzT4WJ%7Ctkp%3ABk9SR6blgc77YQ,https://i.ebayimg.com/thumbs/images/g/~08AAOSw04ti55tU/s-l225.jpg,Brand New,13.99,25.17
False,EC90 Full Carbon MTB mountain bike water Bottle Cage road bike bottle holderbar,https://www.ebay.com/itm/303136374056?hash=item469455fd28:g:B44AAOSwOyxcwtIz&amdata=enc%3AAQAIAAAA4Hpt4YQZWHWfVD5M5swbwaoo7%2FZZ84NKJSyCrv1tVjKGYzighbs0aWG%2Brc3OnxEXHtq3K5OcBJeKIXmU53aFxA6uXIqj6%2F%2BnsCYNkNrn%2BEKGA%2BIwHe2KG1tfsLaUofCHdn0xqN934bmJ8uCZ4PcseaFCan97ymB3jRPsZrcL8T%2FWQhNYxe7S2ZNMtNG0UJtUMGlu4ryoOLPDlJCM5FZxfKc%2FtizTVooy0XMhyTt3anzPua%2B8MzQy3Ed48YGzTstywEgtE2zIo%2BPQ%2BvSBsGzkbNrjqjyu%2Fa3ygstHkom%2FCq6d%7Ctkp%3ABFBMstODzvth,https://i.ebayimg.com/thumbs/images/g/B44AAOSwOyxcwtIz/s-l225.jpg,Brand New,23.49,None
False,New ROCKBROS Cycling Water Bottle Holder Bike Bracket Alloy Cages Double Side,https://www.ebay.com/itm/194216406261?hash=item2d38332cf5:g:toQAAOSwDjZg1hE3&amdata=enc%3AAQAIAAAA4Pam%2BvzXitIIMv8gj0B92ktygzLzpuQzN%2B81XNrhaeIrA9wTsscVV6dB5SjU6wMBl6rA4aoIJDRbuJ7HD9Jm%2BYBT0QN8bblu%2BEeMM9n5LtRZ9ZJ5SgQ3RPfLcReUfmR4H589NwqfqEScy%2BYoEyjiN6twtr1OZI2GYALOeniaYVavZTvl2SRaA0RaaDe9ysQcJq0ShskiievkiO7P9bYAiMT0vmzTJqBP0mJq%2B4wQxmlF2b%2Bayhac7%2F2vgHInEA5YbW8EEd5guyyDX64NScOXjzIaz%2FLQk4Th02cR96YPWiTa%7Ctkp%3ABk9SR4Dags77YQ,https://i.ebayimg.com/thumbs/images/g/toQAAOSwDjZg1hE3/s-l225.jpg,Brand New,8.99,24.21
False,Lightweight Full Carbon Bike Water Bottle Cage MTB Road Bike Holder Bottle Rack,https://www.ebay.com/itm/374596948298?hash=item5737b7d14a:g:dvEAAOSwyalkJplc&amdata=enc%3AAQAIAAAA4B4cl1EFJk5xSaPNJR51fePXUsXoC8qG%2FrwhH4nqc0vXFDKcVAi6Z6BNr%2BkeydmSJF4SEi%2Bz50azAiXIikOlQ%2B%2BZvs1EXoTIO4doesZ7cY5CucaLDvsOYoNiKWKQbnf2mZjBIXZqlkezX%2BnP8pU8whtD5IbahTgYNI%2FUIPr1av%2BdPN458Ye0chNaNxMG63UTXZvzd16QvFUel4ReZvweYnRRLKiE5jjW0QKdwwuIQTxCUuTLeGmI2Vp2xIDJIgPNZbiFLZbyGpQcgw5KTZUis0dppfNNXZdQbdl7KreYghJ3%7Ctkp%3ABFBMrJOEzvth,https://i.ebayimg.com/thumbs/images/g/dvEAAOSwyalkJplc/s-l225.jpg,Brand New,38.38,None
True,Hiking Camping Water Bottle Holder Belt Carrier Pouch Bag Nylon`,https://www.ebay.com/itm/115790680774?hash=item1af5a992c6:g:JiEAAOSwrbRkK9Mq&amdata=enc%3AAQAIAAAAwLHsccxPhEVOTfnl%2BV88EHuH8F32UdPeLzqcbWY4cgV71eFh0O5ytqL7PylTy8IlTKDbAyFQEw1IrTYezZInevm9hdfad03eE6%2BKNW0POyC9a4bce95YyjUzLKgmJkPeGCc84GPW%2FBFpx2g32131Jzbi7f%2BpWlVs8PRf%2FamsPWEqy%2FX5P3yPZayNxJbPea8mQywnpmNbdh1weqIrO6VTlZ%2FcG%2FN0Q1oUy3QGGq1cAkF8vFtTZDqfkuBr%2BpZ5TJGYTA%3D%3D%7Ctkp%3ABk9SR7KThM77YQ,https://i.ebayimg.com/thumbs/images/g/JiEAAOSwrbRkK9Mq/s-l225.jpg,Brand New,6.03,None
False,1/2L Large Water Bottle Time Marker Motivational Gym Sport Bottle With Straw NEW,https://www.ebay.com/itm/364152789452?hash=item54c93299cc:g:HZEAAOSwU~1j8LdD&amdata=enc%3AAQAIAAAA4N4II4qEdyfuiLYqCeGH3mK0LAugPYcJvwzmOxL3A3ShDV3Ll2naOAfvcCVlwEqYEXt6XZhu39%2BOWt%2FgHDSrPWRZECJp%2BZewE%2BzHi%2F6U8yukvN0G8%2F%2BXTYknsBT05Ps6J4tpLe3DhKeRQ3O0oOPI9inEMZXpYPA%2Bg%2BlCXhb6so5Mdq0Z9SwHxcxS8KXEhN6JGVU9rgWtgXzJ2SI%2FfeVcLEe1VlKocSvcECRlMqnmoWP0Fua0bQMOOZACR7Wlj41U9OSU73vPPbsku5XCRJxCyFmDPM%2BPO4YpkfTPJPON091R%7Ctkp%3ABk9SR4Dags77YQ,https://i.ebayimg.com/thumbs/images/g/HZEAAOSwU~1j8LdD/s-l225.jpg,Brand New,13.09,None
False,Tupperware Eco Water Bottle 750ml Minions New,https://www.ebay.com/itm/314485557728?hash=item4938ccc9e0:g:q6MAAOSwTzNkIZqD&amdata=enc%3AAQAIAAAA4Bll84XoECW7oLYT9hOnEopMxMZxlcMBS8I1QP64FWsF5obIaPf6suRqRWkMIehwtZz2NPKbpzEHhzq1gbv78yZ304fl8ojPdfl5ftUjBwX5CRG4gBgsJWiYVr%2B7xXoV8Ap1g015QWOfKxN2ARFj39ubV6yor7FBhZNr76zxEr9b9uylAkHULczyEXAee4XLVWZ3Rp9DCI%2FBd%2B8NYRhWn5SpOGtDICEY15e3dMhZ6evJcYscR9QFRJ32VPEg0h7qsK15yFLcrnnSJqL0JmwtfiFm1OyVIgMpob8%2BbkMzQw6E%7Ctkp%3ABk9SR_SYg877YQ,https://i.ebayimg.com/thumbs/images/g/q6MAAOSwTzNkIZqD/s-l225.jpg,Brand New,19.99,24.37
False,Sports Motivational Drinking Water Bottle With Time Marker 32 Oz BPA Free,https://www.ebay.com/itm/185215135220?hash=item2b1faeadf4:g:yQ4AAOSwC-thuV8t&amdata=enc%3AAQAIAAAA4Gg6yjSlM8StV9W%2FwaKqlfFkBpkuWIIWPuf6R5Uts%2BZEwsmvUeEAY5glRLcQ1qpmvAPJ7BufRBW28AXiNOzYf2g%2FHgn0wrPQkUXubrVsocBKnUP4VRMhNe%2BM2rn%2FxwljPXuI3rLQTa3XFcxrSWRtj6SVovQUwlbnRUpa8T5GaqwByUckeoTMsVIi7T8biv7VRDCjHaAJC2LF36A95m3dH%2BlMUYk9K8ljkFa9amKK1smTzb9qWRZ8d%2BwY%2BnSuPC97Fklow0Vnq8%2BhnrdgE8kd7x8cu421MPClDswe3vMnWqwQ%7Ctkp%3ABk9SR6D4gM77YQ,https://i.ebayimg.com/thumbs/images/g/yQ4AAOSwC-thuV8t/s-l225.jpg,Brand New,13.0,24.27
False,Vintage 1950's Style Bicycle Aluminium Drinks Water Bottle with Cork L'Eroica,https://www.ebay.com/itm/231587771728?hash=item35ebb4f550:g:fvYAAOSwKrhVdcTf&amdata=enc%3AAQAIAAAAwPZ6FL2kImYvPlXe6bLLG7phRur56mAXAKvtzW%2F%2Bk1l6xpyFcE97XCOUlHYnYlf9SM%2BvYQnC7706pDS2dqkX%2Bq7AkDEZbXPwK%2BEgJOnCNE4racCmbm0RFm5jMFdwd9K62DBDScGN9VuaRQu2Uxq6lU6zTbx1BLR2XFJp%2BRUf8UlHG8qu%2BIYvfWFp7WCKUNXUTNOgcILvG4elhc4qHkSB%2FPUs2wC1Vfn79zl74c0UHLOUkJ6GzFiy16Ri8e8RRIEwKA%3D%3D%7Ctkp%3ABk9SR6D4gM77YQ,https://i.ebayimg.com/thumbs/images/g/fvYAAOSwKrhVdcTf/s-l225.jpg,Brand New,12.46,10.89
False, EC90 Full Carbon MTB mountain bike water Bottle Cage road bike bottle holderbar,https://www.ebay.com/itm/233494078265?hash=item365d54e339:g:7OoAAOSwTtZfixlN&amdata=enc%3AAQAIAAAA4EbW4pM9gZeTvaBofEfxGS7tFuOb9JnGYXPglq1gkm0k4p2ELjDCD9cn5P%2BEsKIF1WVytobTeYk9zreOekVQrUSqh68N8c4rzKtKd9c6sbhKSTL%2BPqU2gwKS%2FTDcakySnajNFNqqudC056fWmHfKdBzM6VUUL%2FfD1xpMHCYAkjkoLTnV%2BKMZVYY5YYLSVtEthb048NMZ%2BkeFB1jz55Z912pyN7w%2BpKANB5AawHFGbxYxC3OdOZhfBjE%2BKYkhgtLWShazSUgeKaG5cZFQgGuLmZYig1DnaqPaDSFQ2lKGfX0B%7Ctkp%3ABk9SR6b4gM77YQ,https://i.ebayimg.com/thumbs/images/g/7OoAAOSwTtZfixlN/s-l225.jpg,Brand New,13.99,1.99
