is_new_listing,title,link,image_link,condition,price,shipping_price
false,Outdoor Holder Cycling Water Bottle Brackets Holder,https://www.ebay.com/itm/234980446233?hash=item36b5ed1019:g:8KwAAOSw6UVkQQ~w&amdata=enc%3AAQAIAAAA4NGsgZNVTFRBEJYCu8CF0bwFDLGcIbA4ZNB49gXKPam4wYff0LsBWdwz6eJBm3axddIxnY%2B89WZPqWq5xbw6et3OZlorJWxCSeyMyU3ADNYXyzMR2nV9yPzKIU5%2FQmwHoFhLBttXbbnYQqen7aN6kSk0tYvPe3dIMlsYRkuc%2FbqIeGXnFE8UdzAfSJoWSTUQ5W5TvCf2uIQ4yzqoxh5p7QTvrexW2sAQKnHQYJxgzyh%2Bx3EPZPooZiwr%2BttAGOGJZDONaH4362Rhg%2Fqr5zDKkJqMtDJI0FIGIeaKG2XD06BY%7Ctkp%3ABk9SR57c_s37YQ,https://i.ebayimg.com/thumbs/images/g/8KwAAOSw6UVkQQ~w/s-l225.jpg,Brand New,6.46,Null,
false,"Fidlock TWIST Deluxe Water Bottle Cage Set, 590ml, Smoke",https://www.ebay.com/itm/203966677575?hash=item2f7d5c8247:g:6MAAAOSwCcVijn4~&amdata=enc%3AAQAIAAAAwGGupkumj%2FOYd2qzu8Ow04%2FhBK5rj9%2FVc4KOlRxzrGLcRLp8Ucx4%2F4Ae%2FSb%2FMCg4HuJ4N2ZQDv14U2PXIVAFmo9IwRkCzjmkgz%2BBdAC%2FPJ8%2B7AdDlhWuS54r3sLslDozaevpvt%2Bi9wkGOQaOCTlzPu2azz0eXhS4%2FcCWq72%2FL0Eli%2FgseGZJ8ka4meJGbP%2B2UAvwS3HniDllMrPECxUwYndTe1b2c4GIWIcAvyihNuzdmOYYFux4OAL6cRijm0a1WA%3D%3D%7Ctkp%3ABk9SR6ah_s37YQ,https://i.ebayimg.com/thumbs/images/g/6MAAAOSwCcVijn4~/s-l225.jpg,Brand New,42.95,17.53
false,NEW LULULEMON Sports Water Bottle Squeezable cheetah print black/pink,https://www.ebay.com/itm/166047438434?hash=item26a932d662:g:VTYAAOSwlklkRHR-&amdata=enc%3AAQAIAAAAwC4ENrVJmmHuORBBhv9%2B2OWNV7rPwwrVtv6J%2B0QMIVE3ErXu6mBLll4YpMlD5ppNdhjhwnsUgoMCTSy2ItsuVVhF%2By5sAZHG82y0IUDt4UviPM7OnCX5%2BCh7gPq9sJNmrFJac1q5Imh4XXKl5%2BMC5tisn6HbOlt6jg%2BnuiV2sqhTlU%2FJzD%2FDd8DuyX9eIH8yXGYh%2BlKNxSuNK%2FV9V1HoCkdFUXMNbb4fChL4DcckQln6bAQ9JS8jtKSxDXRYRmmNJA%3D%3D%7Ctkp%3ABk9SR7zEgM77YQ,https://i.ebayimg.com/thumbs/images/g/VTYAAOSwlklkRHR-/s-l225.jpg,Brand New,18,30.79
false,550Ml Sport Water Bottle Cover Neoprene Insulated Sleeve Bag Case Pouch Gift,https://www.ebay.com/itm/373234239398?hash=item56e67e87a6:g:HW8AAOSwTKJZeo2t&amdata=enc%3AAQAIAAAAwLibDqj1%2BG50%2B%2FsZ0h2FRCkJtYfkL03bNvY2KyQMf5yQGf3QIO96P2b%2FOtQmgwIrAwCt%2FbOmjgpf8Ik%2F4LEn8SZryB9fdOvTVw0VxZ%2BJEERQ50F3O9HTTxmXm6iHCozyND58KjedI7ZZo%2FCY8vt5%2BU4PaYdIbNcUt6pm2qvPkAsR4kBdz4HqmQvXwKiGpd%2B6NZs3%2FBArFjXT1kxjrnIikup5dqS0uuN3BwwEEIRsLdlZAqN1c8K0mGcjjsiCsmgfHw%3D%3D%7Ctkp%3ABk9SR6Lc_s37YQ,https://i.ebayimg.com/thumbs/images/g/HW8AAOSwTKJZeo2t/s-l225.jpg,Brand New,3.03,0.49
false,Outdoor Tactical Molle Water Bottle Bag Military Hiking Belt Holder Kettle Pouch,https://www.ebay.com/itm/385101514583?hash=item59a9d6c757:g:3T4AAOSwSl9jFsfB&amdata=enc%3AAQAIAAAAwAHkAWRb0BCut58SRbUgKzfUCTeLrqCsxKwvNleSxOId4LAWQvsurSQtWs1b5UC7nMoC8uPVkZBlpY9MXu2C0QjabuZhJpAC4uz9pyYFYjO4QvmFQ5XF7PaBjPCDMYoxmkUkCxlE7EwvL%2Fm0Dd3hTBYj9rN5HazBgRQX%2B8UC9K%2Fgd2jhWfarjRQmjhAhMYUptZ06zpV7lKY%2FNDe2b77RcP1jzEFQl6J3j69MZtnPr9zYm1%2FYkYy6rCb1S6U0j4StGw%3D%3D%7Ctkp%3ABk9SR8KV_837YQ,https://i.ebayimg.com/thumbs/images/g/3T4AAOSwSl9jFsfB/s-l225.jpg,Brand New,9.88,24.21
true,800ML Gradient Bear Shaped Water Bottle Cute Sports Kid BottS0 School Cup Q8G4,https://www.ebay.com/itm/234995789265?hash=item36b6d72dd1:g:jtwAAOSwefhkKWau&amdata=enc%3AAQAIAAAA4Aums%2FJ%2BOgxBHEvP4VHErU90aoresdOIbSuDqBuwdJMGEhPyPcT8G0NcDsLe69CtP6%2Bf0kDqA4pdmr3H25pk56px0UqeEdH%2FQLj9ClOrxR9oFn%2Bjm%2FBm5J9K1HtZzUhforett3P0thw%2F3fy5YevcX9Sk1n7DSaUbq2EKczyOefCqHensu86247qDk9UoqrYpjFGmmJClwt77ebDwciE16u5EiVaBAzyP13SLhDMn27ZdwXMIh8nvHF6E2LmtcGgcjy%2Fhi3cR%2Bm1m5N20TGu840qprEBUJWIC7eaA6KPWRDCS%7Ctkp%3ABk9SR7rEgM77YQ,https://i.ebayimg.com/thumbs/images/g/jtwAAOSwefhkKWau/s-l225.jpg,Brand New,10.97,Null,
false,4pcs M5*15MM Aluminum Alloy Bike Water Bottle Cage Bolt Holder Socket Stem Screw,https://www.ebay.com/itm/254719735745?hash=item3b4e7ab7c1:g:ncYAAOSwlsNfYOV~&amdata=enc%3AAQAIAAAA4O5XOqWHpxMf5czdkqRhUSmyaBhgG%2BOjtMDBFpGo1CJ0Devx9pIgiMJJSYyvOYE3N8woOh34biQsTiGtZ%2F4JaUZdZvzQFKmYv1hv4h4fWk%2BRlRVxy9lexxatmeq1YvGHkpPmFZvkAl%2BBtS8LfMDcToa6EHs1ihxTYH%2FDeojLFUCdGwW3ySezUO9zEJGbKjEBHr9P4epSMzGY0MEWibwCotRYTwcRvJ%2FNWX5YXQis3ULa1qf3a75a5r%2BdG1W8e2%2BR4EWvITrKbIdabICLAXbrIUgAzk61fSxYG5XUjF48fGXh%7Ctkp%3ABk9SR6Lc_s37YQ,https://i.ebayimg.com/thumbs/images/g/ncYAAOSwlsNfYOV~/s-l225.jpg,Brand New,4.2,Null,
false,Celsius Series Insulated Digital Thermos | Stainless Steel Water Bottle,https://www.ebay.com/itm/185769473580?hash=item2b40b9362c:g:h-MAAOSw1p5j5COc&amdata=enc%3AAQAIAAAA4AdSCUBaT1lF7ihehPLBf1XswWjVmhlmy8U6lF%2FACzirzx%2BpDf0NgdTfwVxktfvawUQ5p5nZ5EfLhPDcuXvyuVIBWdf1hAgQn5PJLqL4gApfqk5wjRSFfpp9Moz6s0qLFNuOFhoq2J33SJ76rC%2B5f4vohXJpM568DF0Z8uS4qekADpqh7rxF%2F7YG5XT%2FVt3KXHlEQPHJSqsZ5iTwbeuJRKWIbiFkXGiCoL9LfHjhksRrZ1ks20UXLEQUTnHCykWw5m6n0SnCTelW31nSJeVOVp9dQbbFLYwawP%2F9c96Yd81J%7Ctkp%3ABk9SR9qTgM77YQ,https://i.ebayimg.com/thumbs/images/g/h-MAAOSw1p5j5COc/s-l225.jpg,Brand New,15,13
false,ROCKBROS Bicycle Water Bottle 750ML MTB Road Bike Portable Kettle PP5 Drinkware,https://www.ebay.com/itm/285155118818?hash=item426491cee2:g:0C4AAOSwVWJj9MPT&amdata=enc%3AAQAIAAAA4JzeafxKmxID5ZayEnqfLtHS2k7BSF7UeuKscirsz%2F8uRkgvz4mbrjzibm0UPdb9jBMVM76T7Jb7pKhC68Htcyx4MR6QczJHfbryVLkUHBmoTYls%2F6L2qXX0ZxK7tzxeALfQqfMfY4Ky%2F%2FojxMXeR042Tu0QeFrzCGaq6ed1N7jro47oVDhp0tubVAzpZFjVAx%2FJa%2F6efzxQmYsFmlXISTsZBTOZfCoS5nVfYSZcAlmwuKflfa9QWLrkVFi9mhwD%2BQkmsOWGlFOme1zqiCHl40IpUW9l%2BXtCeEtLkPo%2FtH1i%7Ctkp%3ABk9SR7rEgM77YQ,https://i.ebayimg.com/thumbs/images/g/0C4AAOSwVWJj9MPT/s-l225.jpg,Brand New,11.89,Null,
false,Tactical Hanging Bottle Buckle Clip Carabiner for Belt Water Bottle Hook Holder,https://www.ebay.com/itm/374292916744?hash=item572598aa08:g:qYYAAOSwgb9jPkWy&amdata=enc%3AAQAIAAAAwA2i1y1%2F%2BX9a0ivYjSrJxe2eI39kAbt0jv56MpDSIYLlG7FoWouJ%2BW%2FuMe9%2B8paUuCIcsFIeA4r%2B6gX5aANXj469%2FOgUd4ntUTTKQEKGjDQ7Kz3dEfWYgz%2F27iBx7GRssP5U4wG%2BbYeVCF%2BCgtW5NEXKFNCjbhCBCqJgAvTOun9DU8U8d6bGEceoCfKnDJuI0g%2By3MXfvDIShkw5DbZ0wBwLBlvaMcpSsalpEuEnLiF8qWXMN2Km5WawdN4ezkC%2B8w%3D%3D%7Ctkp%3ABk9SR8SV_837YQ,https://i.ebayimg.com/thumbs/images/g/qYYAAOSwgb9jPkWy/s-l225.jpg,Brand New,9.99,17.99
